year,temperature,precipitation
1993,9.169373,0.0022554398
1994,13.289429,0.001449585
1995,9.618225,0.00012350082
1996,9.920959,0.0009584427
1997,8.864838,0.00026988983
1998,10.765076,0.00089120865
1999,9.852417,0.003458023
2000,10.338928,0.0003914833
2001,11.652527,0.0014586449
2002,10.251434,0.00031518936
2003,12.2647705,0.0052723885
2004,10.128082,0.00044679642
2005,9.969727,0.0031838417
2006,10.842163,0.004108906
2007,9.987762,5.00679e-05
2008,10.5047,0.0008215904
2009,11.943726,0.00029182434
2010,10.094208,0.0044140816
2011,10.576599,0.0024876595
2012,10.642578,0.000667572
2013,10.697632,0.0020723343
2014,10.985474,0.00024557114
2015,10.590576,0.001420021
2016,12.044159,0.00092315674
2017,9.679871,0.0015215874
2018,10.934906,0.003750801
2019,12.278992,0.0043115616
2020,10.112671,3.862381e-05
2021,10.30661,0.0024294853
2022,11.218201,0.0030956268
2023,11.835083,0.00048828125
