year,landcover
1993,10.000000000000062
1994,10.000000000000062
1995,10.000000000000062
1996,10.000000000000062
1997,10.000000000000062
1998,10.000000000000062
1999,10.000000000000062
2000,10.000000000000062
2001,10.000000000000062
2002,10.000000000000062
2003,10.000000000000062
2004,10.000000000000062
2005,10.000000000000062
2006,10.000000000000062
2007,10.000000000000062
2008,10.000000000000062
2009,10.000000000000062
2010,10.000000000000062
2011,10.000000000000062
2012,10.000000000000062
2013,10.000000000000062
2014,10.000000000000062
2015,10.000000000000062
2016,10.000000000000062
2017,10.000000000000062
2018,10.000000000000062
2019,10.000000000000062
2020,10.000000000000062
2021,10.000000000000062
2022,10.000000000000062
2023,10.000000000000062
