year,soil_moisture
1993,0.2658143937587738
1994,0.26386234164237976
1995,0.26448896527290344
1996,0.26595792174339294
1997,0.2662794888019562
1998,0.2650809586048126
1999,0.2639959156513214
2000,0.26459449529647827
2001,0.2633114755153656
2002,0.2619854509830475
2003,0.2629103362560272
2004,0.2637338638305664
2005,0.2624008357524872
2006,0.262420117855072
2007,0.261396586894989
2008,0.2617438733577728
2009,0.26140227913856506
2010,0.2630009055137634
2011,0.2620507478713989
2012,0.26042523980140686
2013,0.26153862476348877
2014,0.2621033489704132
2015,0.2615472972393036
2016,0.26226985454559326
2017,0.262843519449234
2018,0.2617679238319397
2019,0.26131272315979004
2020,0.25958240032196045
2021,0.25934329628944397
2022,0.2595362663269043
2023,0.2579655349254608
2024,0.2592448890209198
